Title,Description,Sentiment,Source,Link,Time
Ethereum (ETH) Price Continues Bearish Momentum Amid Sluggish Market,"Glassnode tweeted a pair of indicators indicating Ethereum’s impending volatility. Because it fails to recoup its losses from the first quarter of this year, Ethereum’s growth seems to have ... ",negative,Investing.com,https://in.investing.com/news/ethereum-eth-price-continues-bearish-momentum-amid-sluggish-market-3192436,1 day ago
NFT markets slump as weekly sales volume dives 30%,"MAYC, BAYC, and Otherdeed trading volumes are all way down, as are volumes in the entire NFT market, possibly signaling a general cooldown in the indu ",negative,The Forex Market,https://www.fxstreet.com/cryptocurrencies/news/nft-markets-slump-as-weekly-sales-volume-dives-30-202205090401,3 hours ago
"Price analysis 5/4: BTC, ETH, BNB, SOL, XRP, LUNA, ADA, DOGE, AVAX, DOT",Investors across the world are waiting for the outcome of the Federal Open Market Committee meeting... ,neutral,The Cointelegraph,https://cointelegraph.com/news/price-analysis-5-4-btc-eth-bnb-sol-xrp-luna-ada-doge-avax-dot,5 days ago
"Ethereum price submerged at $2,800 spells trouble for early bulls","ETH price is coiling into a diagonal pattern. Ethereum price printed a large bearish engulfing candlestick. Invalidation of the downtrend is a breach at $3,039. Ethereum price shows a bearish stronghold within the price action. ",negative,The Forex Market,https://www.fxstreet.com/cryptocurrencies/news/ethereum-price-submerged-at-2-800-spells-trouble-for-early-bulls-202205021816,7 days ago
"Bitcoin and ETH at Make-or-Break Levels, UNI Aims Fresh Surge","Key Insights: Bitcoin gained pace and tested the key $40,000 resistance. Ether (ETH) faced... ",neutral,FX Empire via Yahoo Finance,https://finance.yahoo.com/news/bitcoin-eth-break-levels-uni-144046703.html?fr=sycsrp_catchall,4 days ago
"With The ETH Merge Just Around the Corner, Should You Buy The dip? - Benzinga","With undervalued fundamentals and a current price far from all-time highs, you may be wondering if it is the right time to buy the dip before Ethereum enters into the next bullish rally. Namely ... ",negative,Benzinga,https://www.benzinga.com/markets/cryptocurrency/22/05/26950609/with-the-eth-merge-just-around-the-corner-should-you-buy-the-dip,6 days ago
Experts Predict Ethereum to Double in Price by the End of 2022 By DailyCoin,"Ethereum (ETH) had a very successful run in late 2021, but ETH is yet to see any significant... ",negative,Investing.com,https://www.investing.com/news/cryptocurrency-news/experts-predict-ethereum-to-double-in-price-by-the-end-of-2022-2817135,5 days ago
Crypto Whale Just Moved $37M Worth Of Ethereum Off Gemini - Benzinga,"What happened: An Ethereum (CRYPTO: ETH) whale sent $37,026,175 worth of Ethereum off Gemini. The ETH address associated with this transaction has been identified as: 0x96ec13657d2a31b955fd75f5b5de70cbf5954db7 ",negative,Benzinga,https://www.benzinga.com/markets/cryptocurrency/22/05/27027205/crypto-whale-just-moved-37m-worth-of-ethereum-eth-off-gemini,4 days ago
"5,133 ETH Worth $13M Was Just Burned By Benzinga","What happened: On Thursday a total of 5,133.77 Ether (CRYPTO: ETH) worth $13,914,414, based on the current value of Ethereum at time of publication... ",negative,Investing.com,https://uk.investing.com/news/stock-market-news/5133-eth-worth-13m-was-just-burned-2642962,3 days ago
Bitcoin and Ethereum Are Both Down at Least 8.5% the Past Day. Should You Buy?,Bitcoin and Ethereum -- which combined make up more than than half of the $1.66 trillion... ,neutral,The Motley Fool,https://www.fool.com/the-ascent/cryptocurrency/articles/bitcoin-and-ethereum-are-both-down-at-least-85-the-past-day-should-you-buy/,3 days ago
Report: Investors in 26% of Countries Worldwide Favor ETH Over BTC By CoinQuora,A recent report released by CoinText concluded that ETH investors outnumber BTC investors in 26% of... ,neutral,Investing.com,https://www.investing.com/news/cryptocurrency-news/report-investors-in-26-of-countries-worldwide-favor-eth-over-btc-2819280,3 days ago
"...Falls Further, Algorand Partners with FIFA and Gains 25%; ADA and ETH See Whale Action; Dfinity...",Bitcoin’s downtrend continues; Algorand gains 25% after FIFA partnership. Whales continue ETH... ,negative,Investing.com,https://www.investing.com/news/cryptocurrency-news/crypto-flipsider-news--btc-falls-further-algorand-partners-with-fifa-and-gains-25-ada-and-eth-see-whale-action-dfinity-sues-meta-dogecoin-to-defeat-twitter-spam-bots-square-enix-sells-tomb-raider-for-300-million-2816121,6 days ago
Vitalik Buterin On How Shiba Inu (SHIB) Helped Fight COVID-19 - Benzinga,Ethereum (CRYPTO: ETH) co-founder Vitalik Buterin shared an update on how $100 million worth of Shiba Inu (CRYPTO: SHIB) was put to use in fighting COVID-19. ,negative,Benzinga,https://www.benzinga.com/markets/cryptocurrency/22/05/27011222/ethereums-vitalik-buterin-shares-details-on-shiba-inu-funded-anti-covid-effort,4 days ago
Ethereum Price Predictions: Where Will the NFT Craze Take the ETH Crypto Next?,Ethereum (ETH-USD) price predictions are a hot topic today with investors wondering where the crypto... ,neutral,InvestorPlace,https://investorplace.com/2022/05/ethereum-price-predictions-where-will-the-nft-craze-take-the-eth-crypto-next/,7 days ago
What Determines Bitcoin's Price?,"For example, Ethereum has emerged as a formidable competitor to Bitcoin because of a boom in decentralized finance (DeFi). Investors who see its... ",neutral,Investopedia,https://www.investopedia.com/tech/what-determines-value-1-bitcoin/?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral&yptr=yahoo,11 hours ago
